comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
sebab makcik ni Izzah kalah. naiss makcik. tq so much. ustad fawaz terbaik 🤜🤛,@emilygojeske,emilygojeske ,6,0,2022-11-20,2023-01-30,31.7K,3113,2963
👍👍👍👍terbaik makcik..,@ismailmohamed3435,Ismail Mohamed3435 ,113,0,2022-11-14,2023-01-30,31.7K,3113,2963
Cai ph sila hadap ye... 😂😂,@halusinasi555,No name ,0,0,7h ago ,2023-01-30,31.7K,3113,2963
walanon papa tlg la perjelas kn😂😂😂,@maell800,mael80 ,0,0,13h ago ,2023-01-30,31.7K,3113,2963
Alhamdulillah...semoga hat lain terbuka mata....PN best,@syafibiellaxcn,Syafibiella x-cn ,0,0,1d ago ,2023-01-30,31.7K,3113,2963
"☘️🌿🌱سيروا على بركة الله KeJaYaAn SeMaNiS MaDu, MeMeRLuKaN PeNgOrBaNaN SePaHiT HeMpEdU🌱💚PROFESSIONAL ISTIQAMAH 🫒☝️🇲🇾🟢",@bulyahm,BuLYAHM ,0,0,2d ago ,2023-01-30,31.7K,3113,2963
makcik ni skrg dah kaya raya laaa sebab setiap bulan dapat bantuan,@user1753665757074mji,jai _5055 ,0,0,6d ago ,2023-01-30,31.7K,3113,2963
😂😂😂😂😂,@justinjogi,justinjogi ,0,0,1-21,2023-01-30,31.7K,3113,2963
yola makcik tu oiii😂😂😂,@zett_76,Nur Zett ,0,0,1-20,2023-01-30,31.7K,3113,2963
😂,@mattoyol43,mattoyol43 ,0,0,1-18,2023-01-30,31.7K,3113,2963
Tolak pn,@kecikbbp2,Kecik87 ,0,0,1-13,2023-01-30,31.7K,3113,2963
rakyat pH je sayang izzah nihh..😂😂,@superkerepek,GGK&MELAKA ,1,0,1-11,2023-01-30,31.7K,3113,2963
nti fawwaz ubah la makcik pi tgok no,@aduka1007,Aduka1007 ( Lan ) ,1,0,1-11,2023-01-30,31.7K,3113,2963
Harap makcik puas hati dgn pembangunan di pp. Next 5 yrs kita repeat temuduga😂.,@ipinz83,ipinz83 ,0,0,1-8,2023-01-30,31.7K,3113,2963
betul time undi tunjuk muka..lepas undi xdpt dikesan..sama 3 beranak tu...,@ahmadalbab7776,AhmadAlbab😍 ,1,0,1-6,2023-01-30,31.7K,3113,2963
makcik ape khabar....sihat ko?....bila nk mari kelantan,@zainnor248,zainnor248 ,0,0,1-6,2023-01-30,31.7K,3113,2963
PH UNTYK KESEJAHTERAAN DAN KEADILAN RAKYAT.,@user9249481984532,mai 66 ,0,0,1-6,2023-01-30,31.7K,3113,2963
sekarang dah perubahan ke makcik kat sana ek.,@azmimoksin,hidupsementara ,0,0,1-6,2023-01-30,31.7K,3113,2963
🥰🥰hambo sama.....pas pn....,@user4956831375919,hussin ,1,0,1-6,2023-01-30,31.7K,3113,2963
tempat sy dah 6 penggal BN perintah x ade perubahan juga pun.,@fakarrahman8,fakarrahman8 ,1,0,1-5,2023-01-30,31.7K,3113,2963
Sy sokong mak cik ni apa yg di kata kan mungkin dia dah melalui nya,@jamaludindin21,Jalak Lenteng ,0,0,1-4,2023-01-30,31.7K,3113,2963
betul tu makcik,@aniq20225,Nor ,0,0,1-4,2023-01-30,31.7K,3113,2963
tgk shah Alam..air xde jugak😂😂😂😂,@longranje01,@hamba ,1,0,1-4,2023-01-30,31.7K,3113,2963
bijaknya mak cik ni aih!!,@jamanicj,jamanicj ,0,0,1-1,2023-01-30,31.7K,3113,2963
hebatt mk cikk nii🥰🥰🥰,@ahhlekk22,ahhlekk22 ,1,0,1-1,2023-01-30,31.7K,3113,2963
sama ja yg geng BN dok KL gak jd wakil rakyat permatang pauh jgk...sama ja semua...,@abeweee,elektrikal&mekanikal ,1,0,1-1,2023-01-30,31.7K,3113,2963
pru16 nnti jgn kutuk yb baru pulak,@kakma07,kakma07 ,0,0,1-1,2023-01-30,31.7K,3113,2963
terbaik pilihan yang tepat,@kryrom1,kry ,0,0,1-1,2023-01-30,31.7K,3113,2963
betul mak cik pelakon tambahan,@nemisi954,Nemis @Normi helmee ,0,0,2022-12-31,2023-01-30,31.7K,3113,2963
haaaiiii mak chik😭tak baik mulut tuuu😭,@ksuefaiqputra,Ksue putra ,1,0,2022-12-29,2023-01-30,31.7K,3113,2963
boleh ckp lagi tak sekarang😁,@agusgondes636,agusgondes636 ,0,0,2022-12-28,2023-01-30,31.7K,3113,2963
lantang di parlimen belum tentu pembela rakyat..,@muhamadfuadalafas,super saiya. ,1,0,2022-12-28,2023-01-30,31.7K,3113,2963
dia kecewa sebab dia x dapat bantuan latu,@aduka1007,Aduka1007 ( Lan ) ,1,0,1-11,2023-01-30,31.7K,3113,2963
sabar la makcik skrg bapak dia dah PM ......mungkin dulu pembangkang nak tolong mcm mn.....sabar,@imanzanny,Naziffa Ahmad Iman ,1,0,2022-12-27,2023-01-30,31.7K,3113,2963
terbaik makcik,@user60r4040nqs,Maeil ,0,0,2022-12-25,2023-01-30,31.7K,3113,2963
dengar tu Cai ph😂😂,@user3286455906156,kk ,0,0,2022-12-21,2023-01-30,31.7K,3113,2963
Dia berjuang bkn utk rakyat. Tp utk bapaknya papa non...,@azizahzee4,azizahzee4 ,1,0,2022-12-18,2023-01-30,31.7K,3113,2963
semuga mak cik ini bagia,@norrayaithnin,Norraya Ithnin ,0,0,2022-12-17,2023-01-30,31.7K,3113,2963
takda peruntukan kot sbb bukan kerajaan spenuhnya.,@suemanies,SuZaNa ,0,0,2022-12-15,2023-01-30,31.7K,3113,2963
Support,@bayie2665,khairulwali401 ,0,0,2022-12-12,2023-01-30,31.7K,3113,2963
mak cik bersih kn hati,@emydin89,salmisalleh ,2,0,2022-12-12,2023-01-30,31.7K,3113,2963
Ank dgn papa sama jr,@srikandi_aisha,boboy ,0,0,2022-12-11,2023-01-30,31.7K,3113,2963
org2 tua pun pandai menilai mn buat kje mna tak,@dewibulan70,Missdiera ,0,0,2022-12-10,2023-01-30,31.7K,3113,2963
patut PRU 15 dia tumbang 😂😂😂,@ahmad_mizzuan,ciko ,0,0,2022-12-9,2023-01-30,31.7K,3113,2963
"ini sprti cerita gosip org tua tua, dengar boleh pcya jangan, harus bijak berfikir. biasa benda yg benar pasti bnyk musuh di dunia",@joashipp,kkk ,1,0,2022-12-8,2023-01-30,31.7K,3113,2963
Kamu nanya....😂😂😂 takbirrrr,@pamoagabundle_2023,Pamoaga Bundle_2023 ,0,0,2022-12-8,2023-01-30,31.7K,3113,2963
Bg makcik ni je jd yb... amboii diaa..,@mahfuzah_izzati,Mahfuzah izzati7 ,1,0,2022-12-7,2023-01-30,31.7K,3113,2963
tgk la sape cikgu dia,@arexiell88,✍🏻Axiell’s ,0,0,2022-12-7,2023-01-30,31.7K,3113,2963
mestilaaa izah tu bekap bapak dia..war2 sana sini..sokong la bapak saya ph,@eyra837,eyra083 ,0,0,2022-12-7,2023-01-30,31.7K,3113,2963
berani kerana benar Mak cik!,@nemisi954,Nemis @Normi helmee ,0,0,2022-12-31,2023-01-30,31.7K,3113,2963
istifar mkck ..,@inakarimozxone,inakarimozxone ,1,0,2022-12-6,2023-01-30,31.7K,3113,2963
Emm...sama ja YB mana pun tiada yg sempurna.,@paktehg,paktehg ,1,0,2022-12-6,2023-01-30,31.7K,3113,2963
Kawan aku pn ckp dia kt lembah pantai pn xde prubahan gak.. aku hrp menda ni xbtul.. n hrp dia mmg btul buat keja utk rakyat,@sally_8176,sally_8176 ,0,0,2022-12-6,2023-01-30,31.7K,3113,2963
patutlah orang permatang pauh x mau Nurul Izzah....faham,@hwayoung971,Hwayoung ,0,0,2022-12-6,2023-01-30,31.7K,3113,2963
Laaaakkkk.. kata maju kalo diowg pegang Laaak😂,@akudanmesinjahit,Aku Dan mesin jahit ,0,0,2022-12-6,2023-01-30,31.7K,3113,2963
Bapak dia pon sm mak cik mai tempat kami sbb nk menang je.. klu dia bertanding tmpat makcik kalah dh.. niat dorg nk jd pemimpin sj bkn nk jaga rakyat.,@faridaazierabeauty,faridaazierabeauty ,0,0,2022-12-6,2023-01-30,31.7K,3113,2963
Sokong makcik🥰,@nurcahaya480,Nur Cahaya ,1,0,2022-12-6,2023-01-30,31.7K,3113,2963
"baguslah macik...lpasni xmaluda,sbb yg mcik pilih akn buat perubahan yg macik nak...tahniah macik",@lianaabdullahlian,yana ,2,0,2022-12-5,2023-01-30,31.7K,3113,2963
"sabar mak cik, lepas. ni bnyk lah bangunan bertingkat² kat permatang pauh tu",@zillshamiel,zillshamiel ,1,0,2022-12-5,2023-01-30,31.7K,3113,2963
moga2 ALLAH bukakan pintu hati semua,@surizal48,surizal48 ,0,0,2022-12-5,2023-01-30,31.7K,3113,2963
"betoi la tu,,,💚🤍💙 PAS PN Terbaik bersih dan stabil 👍🏼👍🏼👍🏼",@loneranger7730,LoneRanger🕷️7730🕸️ ,2,0,2022-12-5,2023-01-30,31.7K,3113,2963
bile makcik org lama dh bersuara..terbaikkk makcik.berani bersuara 😁👍👍,@ihsanterluka,🌹Rose🌹 ,2,0,2022-12-4,2023-01-30,31.7K,3113,2963
makcik izzah Dlm parlimen X ponteng.sentiada bawa ISU rakyat.,@zetadpfm,Zetadpfm ,0,0,2022-12-4,2023-01-30,31.7K,3113,2963
Makcik skang mcm mana😁😁 rasa lah makcik,@shahrilanuar5,EntahlahShahril ,0,0,2022-12-4,2023-01-30,31.7K,3113,2963
"okey kita tengok pulak PN ye makcik, mugkin ada menara berkembar nanti kat p.pauh .",@aurbemoyang,Aurbemoyang ,0,0,2022-12-3,2023-01-30,31.7K,3113,2963
Kenana tumpah kuah kan..😁,@zayn_6455,Zayn6455 ,0,0,2022-12-3,2023-01-30,31.7K,3113,2963
X boleh nk nafikan.sbb org2 Kwsn sana yg TH.,@ejagold930,ejagold930 ,0,0,2022-12-1,2023-01-30,31.7K,3113,2963
"makcik nak perubahan mcmna tu.nak bangunan 50 tingkat ka,😂",@nurkasih3577,Nur Kasih ,0,0,2022-11-27,2023-01-30,31.7K,3113,2963
sama mcm papa dia la m.cik..dgr blh caya jgn 😂,@dila4324red,dila4324 ,2,0,2022-11-27,2023-01-30,31.7K,3113,2963
sabar cik byk tempat dye nk jaga,@fatenatasha,Fathennatasha ,0,0,2022-11-26,2023-01-30,31.7K,3113,2963
apa khabar macik ni sekarang?,@youzhnyyunus,Youzhny Yunus ,0,0,2022-11-26,2023-01-30,31.7K,3113,2963
betoi makcik,@azah470,azah ,0,0,2022-11-25,2023-01-30,31.7K,3113,2963
"just curious, orang permatang pauh inginkan perubahan yang macam mana ye? ☺️",@chiefexecutiveloner,A B D U L   M I D N I G H T S ,0,0,2022-11-23,2023-01-30,31.7K,3113,2963
"kawasan pembangang, pilih kasih agihan bajet kot",@ridarowankbs,Ridarowankbs ,2,0,2022-11-22,2023-01-30,31.7K,3113,2963
makcik ni dh lama pendam perasaan .. Mmg luah habisan !,@biha_adzhar,Nabihah Adzhar ,0,0,2022-11-21,2023-01-30,31.7K,3113,2963
fax,@raymanoi0,raymanoi0 ,1,0,2022-11-20,2023-01-30,31.7K,3113,2963
terbaik makcik,@mami_jey,MamiJey JL Fara Beauty ,3,0,2022-11-20,2023-01-30,31.7K,3113,2963
bagus mak cik ni. ada ciri2 wakil rakyat,@zeeyacob,zeeyacob ,1,0,2022-11-20,2023-01-30,31.7K,3113,2963
saya takot kalau jadi menantu mak cik nie serius,@heysheis,heysheis ,3,0,2022-11-20,2023-01-30,31.7K,3113,2963
kaleh makcik kali ni......btui mkcik kata,@anazana84,anazana84 ,1,0,2022-11-20,2023-01-30,31.7K,3113,2963
perjuangan dia bkn utk rakyat...utk bapak dia je...,@ikmal8123,sham8123 ,4,0,2022-11-20,2023-01-30,31.7K,3113,2963
Tu PN dh menang kat Permatang Pauh..Moga dptla maju mcm sebelah Pulau ni ya 🥺..Kesian tngk sendu ja..Mall pun hauks,@sfans.my,✨ Ikrar Cinta ✨ ,2,0,2022-11-20,2023-01-30,31.7K,3113,2963
ya Allah menangkanlah PN,@fiq2421,fiq2421 ,2,0,2022-11-18,2023-01-30,31.7K,3113,2963
"Alahai makcik, saya ketawa kecil kejap. Parlimen tmpt dia bekerja tu kt permatang pauh ke? kuala lumpur makcik🤭",@amalninaa,𝒩𝒶𝒶 ,1,0,2022-11-18,2023-01-30,31.7K,3113,2963
Terbaik cik,@ayenmannnn,Ayenman ,0,0,2022-11-18,2023-01-30,31.7K,3113,2963
bagus. klu rmai2 brsuara mcmni 👍👍👍,@kienna_.kinot,_kieynx ,0,0,2022-11-18,2023-01-30,31.7K,3113,2963
Nurul izzah tu sungguh2 dia nak bapak dia jadi PM jee . Time nak pru lah baru nampak muka dia jumpa masyarakat,@user63819193610,︎📎 ,2,0,2022-11-18,2023-01-30,31.7K,3113,2963
Makcik nk perubahan ape mak cik oiii😂😂,@fydaibrahim78,fyda ibrahim ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
😂😂 sokong makcik 😂,@user0011k,sã ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Betoi mak cik,@zulzilatimdsazari,Apabila bumi digegarkan ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
@Laikaaa pulakk dah ni 😂,@akeyyrahrosly,akeyyrahrosly ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
PN makcik....,@isnazarith87,Isna Zarith ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
mak cik tak down kan...kita ada aboh cik..bior izah down dgn parti bapak dia😂..kita pangkah PN,@akiff0086,PAS BOY ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
Betoi mak cik tu ckp,@aidaamyza,AidaAmiza ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Klau boleh tukar,@_man.rxz,_man.Rxz ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
tp ramai penyokong PH dkt twitter,@whoareyouhah7,Daisy7 ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
mokcik undi lain tuh,@umeiraznan,retro twentyone ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
@n_izzah betul ke 😳,@nnwrrh,raudhatulnawarra ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Terima kasih Makcik. Ayuh kita undi BN kali ini.,@abdulghani13298,abdulghani13298 ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
PH TERBAIKKK,@haneeynia,Haneey Nia ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
berjuang utk bapak dia naik jd PM10 je kan,@faranadya73,Farra nadya ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
terima kasih makcik habaq. tidak kami x tau. 50/50 nak percaya ka dak dgn anuar ni,@kerryibrahim,Cik Kay ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
Kami teringin nak tengok KLCC dekat permatang pauh,@paan_xy,Misai Kucing ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Ustaz akan menang 😊,@emjemuslimah.co,CEO BAJU RAYA 2023 ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
terbaik makcik..😁😁,@wanie_aliff,wanieAlif ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
mmg permatang pauh xde pape. Tgk daerah lain naik sungguh,@fatinelanie_,fatinbeauty.my ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
"tu pun dok undi bg menang ke dia juga di situ.lama dah tu bg kat org lain la plak.undi Pas,Pn plak ustz fawwab terbaik dah Tu.",@mohdizul1,Mohd Izul ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
"baguslah makcik ni, jujur 🥰",@beedadaritiktok,beedadaritiktok ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
alfatihah utk makcik,@melankolia87,MeLAnkOLia ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
steady makcik..👍👍,@farhanaandika,F ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
elok la anak bapak😂😂😂,@khai.abd,kh41_. ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
"mana org ph tu, yg dok ngata parti lain tu, ni tengok makcik ni, tengok org yg duduk sna",@aishahazmy22,ecahayla ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
sokong lah PN💙💚,@mikjaaaaaa,ainaa.mijaapenang ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
masih lagi nk undi ph,@userrmannnn,𝗠𝗮𝗻𝗟𝘂𝗸𝗮𝗸𝘂 ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
@marwanmarvin418 bukan utk perjuangan rakyat tp utk perjuangan bapa sendiri😏,@g_dragxn,Popok__ ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
ohhhh tq makcik 😭 bagitau saya,@hn_saiful,biskut lutut ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
"Orang permatang Pauh, ayuh Undi Ustaz Fawwaz Mat Jan. Undi PERIKATAN NASIONAL (PN)!",@izzfadh,IzzFadh ,4,0,2022-11-17,2023-01-30,31.7K,3113,2963
Ph mmg ah😂,@irfanazmiii,ʇunoɯuǝsɥoɯ ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Undilah ust fawwaz md jan,@adlifitri_,Adli 👌🏼 ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
bn tbaikkk,@ahmadfaizpaiz,ahmadfaizpaiz ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
@n_izzah lagu mana ni?,@m.syuk__,CEO OF BERIA ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
tok Saya pun cakap macam nih .tak tahu laaa,@finaetasya,😘MaNiSnYa GuLa😘 ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
No skrip ye tawan tawan . Tak macam yg lain . Yg ni ikhlas dari hati . Kemaih Makcikkkkk. Takbir !!!!,@_rafiqrahim,R A F I Q ,3,0,2022-11-17,2023-01-30,31.7K,3113,2963
PN & PAS sentiasa dihati🥰,@acaplahh,乂LANGMeraH乂 ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
undi BN Mok cik ..kan dah nyesal,@idolamalaya1,idola malaya ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Yeah pn dihati,@tyyrsly_,Tyy_ ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
makcik ni mcm knal je,@rezz.samian,Parental Advisory ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
sama la dgn muhkriz,@rahimyana,Rahim botak ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
klau mcm tu..kali ni bg peluang parti lain la..jgn la undi depa lagi,@sonalai8,sonalai8@hanna ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
"betul tu makcik 5 tahun sekali jumpa, kalau npk dalam television je😂😂😂",@vbyboy,VBY BOY ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
kalau dh kerjaan pusat takmau bagi dana cemana nk bgi pulih 😂😂,@eliiyayaa,Eli Yaya ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
Sokong makcik Nora.. org kg Kami tanjung putus permatang pauh,@lynn_adell,Lynn adell ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
"aku tkleh brain la sape yg nk nuar jadi pm tu, diaorang tktau ke dap ade dgn ph",@umaress01,Entah La986 ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
Berjuang utk BApak.....hehehe😂,@eshaheesham,eh!eshasham88 ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
3 kali undi bru sedar.. bgn2 la org permatang..apoo.. lena lama ngat..,@cityfatihahabdul,Siti Fatihah Abdulla ,3,0,2022-11-17,2023-01-30,31.7K,3113,2963
terbaik makcik🥰,@anilzas,sazlina ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
Tq makcik sudi kongsi kenyataan,@ilfahhusna,ILFAH HUSNA | AmwayMommy ,1,0,2022-11-17,2023-01-30,31.7K,3113,2963
betul tu makcik...klau calon org setempat pon susah nk nmpk muka apatah lg klau org luar,@caervf_,Hidup kene Selek🤞 ,2,0,2022-11-17,2023-01-30,31.7K,3113,2963
jom undi perikatan nasional,@payikzs,payikzs ,4,0,2022-11-17,2023-01-30,31.7K,3113,2963
"MP kerja dia dok kt Parlimen,,,,Bertabahla MakCik,,,Sy Akan Undi PH 19/11 ni",@jebonkratum,JeBonKratum ,4,0,2022-11-17,2023-01-30,31.7K,3113,2963
nurul izzah ni hebat bercakap mcm mak dia.. dia tngh tuntut keadilan utk bapak dia nak buktikan,@misriyanafisah,misriya nafisah ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
mak cik undi pn pas,@khairulnizam3660,Mohd Khairulnizam ,0,0,2022-11-17,2023-01-30,31.7K,3113,2963
makcik kena tahu apa beza dun dgn parlimen,@ortonrandy17,Randy ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
nak mekdi jgak,@hazriizwan,hazri izwan ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
undi ustaz fawwaz makcikk,@maklehahennaart,mak leha hennaart ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
ramai yg ckp camni tp pelik ramai undi bg menang,@puteribuluhkasap_,K A K Y O N G | I N A R A🕊️ ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
Makcik ni ckp penuh perasaan.. mesti dia luahkan betul2 apa yg terbuku,@mrs_noor0821,Mrs MMN ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
duduk di kuala lumpur sebab dekat dgn bangunan parlimen tu 😅,@saifulabdullah__,saifulabdullah__ ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
"Selalunya nk undi kena tnya org yg stay ditempat tu, sapa yg selalu turun bantu. Sy undi tgok calon 😂",@kenabannedsampaikesudah,Kenabannedbertahun ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
Tukar lah..,@farahillary8475,farah ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
kira ok lah dpt jumpa..tempat sy..parti warna biru tu..betul² jumpa poster je .😂,@azligrand,azligrand ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
hahaha cikgu zaidi yang mai bagi sini sana😂,@hangsaka03,HangSaka ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
Tu nohhh,@bangtoyyib11,BangToyyib ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
cakap tak serupa bikin..duk berkawan dgn DAP .Tu jadinya ..PD pun Tolak Anwar,@user7273511505818,Fiz ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
mana nak muncul..member dok kl.,@sangpembenci12,halim ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
serius lah nurul izzah mcmni,@user621234560,user621 ,3,0,2022-11-16,2023-01-30,31.7K,3113,2963
tolak DAP angkat tangan🤝,@mikokancomel,4RVLMieko7OFF ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
"tapi saya duduk permatang pauh, alhamdulillah elok je yb izzah ni buat kerja dia.",@thvrees,thv ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
setepek 😂😂😂,@ashknnah,Ash Sabri ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
Jgn kena kencing lg mak cik,@biskutpatsegi,BiskutPatSegi ,3,0,2022-11-16,2023-01-30,31.7K,3113,2963
Jibby pun bukan rumah kat pekan,@heyyyeeekinnn,E K I N ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
alhamdulillah..mudah2an betul la yg makcik dh mula bole berpikir..,@fir817835,user796104192502 ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
tq mak Cik bagitau,@aisyahempire,Aisyah Empire757 ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
Undi PN plak makcik...,@awiraismadi,awiraismadi ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
saya sokong makcik👍👍👍,@ms_fatin,ms_fatin ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
Sama je dgn parti yg lain... 2 3 org je yg btul2 buat kerja.... Tempat yg lain pun serupa....,@sofea_mikhaeil,Sofea_mikhaeil ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
"sbb tu sy dri dlu tk undi ph asyik Bn je sbb tknk dap tu , tkpa yg mana sokong PN pun okay tk suka anuar dan fmily nya",@azlina545,syaa ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
@abebuja xsangka izzah gitu,@honeykelantan95,honeykelantan95 ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
anak ngn mak sama ja....,@aderjernie,aderjernie ,0,0,2022-11-16,2023-01-30,31.7K,3113,2963
perlukan perubahan pada Permatang Pauh,@nzzuriati,ZHU ,3,0,2022-11-16,2023-01-30,31.7K,3113,2963
makcik kene faham dia ibu kene tinggal. .time kempen baru dia blh move on 😂😂😂😂,@wakdady,waktong ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
Ya betui Anwar dari parti umno sampai ker pakatan harapan tak daq perubahan langsung kat Permatang Pauh,@user1614511073916,user1614511073916 ,3,0,2022-11-16,2023-01-30,31.7K,3113,2963
Dia berjuang untuk jadikan bapak dia PM lah kalau betul yang makcik ni beritahu. Orang permatang pauh boleh ubah dah.,@siapajoeh,siapa jo ,1,0,2022-11-16,2023-01-30,31.7K,3113,2963
"kantoi bila dah bg peluang...masih nk janji? penat tunggu pembela nasib rakyat..turun satu satu umah tgk susah org, x larat pulak!",@sygtuah,Imapaloma ,3,0,2022-11-16,2023-01-30,31.7K,3113,2963
Hahahaha undi PN kalini makcik!,@izzathz07,izzathz ,2,0,2022-11-16,2023-01-30,31.7K,3113,2963
